Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_sendrecv.py,51,30,44,3,16,10,20,19,30,68.75488750216347,1.875,238.94592263120165,13.274773479511204,127.43782540330756,8,51.96077993443882
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_allgather.py,143,100,121,5,53,35,70,58,105,315.1894245662864,3.30188679245283,2030.950958216399,112.83060878979994,615.0880044883951,43,40.4319063889639
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_broadcast.py,95,50,81,3,34,19,38,37,57,177.72862410467502,1.6764705882352942,497.809234850837,27.656068602824277,296.93884184085016,17,43.33853279715626
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_reduce.py,146,84,124,3,65,42,84,68,126,396.208795349013,1.9384615384615385,1486.8393856567754,82.60218809204308,767.0203179975429,39,41.84034876906911
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_reducescatter.py,131,93,111,4,57,44,88,61,132,340.4747308073903,3.087719298245614,2417.243681162473,134.2913156201374,782.857328558301,39,42.759413653889304
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_allreduce.py,180,91,147,4,80,50,100,84,150,513.7542475909889,2.5,2397.1190335420347,133.17327964122416,958.8476134168139,44,42.35521096484262
ray_2.0.0,python/ray/util/collective/tests/distributed_cpu_tests/test_distributed_basic_apis.py,136,89,109,2,15,12,18,17,30,60.60335893412778,1.2,147.14866228501222,8.174925682500678,122.6238852375102,30,52.47827234134268
ray_2.0.0,python/ray/util/collective/collective_group/gloo_collective_group.py,565,249,351,12,76,51,90,88,141,517.8620410303664,7.105263157894737,6471.330571618998,359.5183650899443,910.779858227859,76,43.99869793808992
ray_2.0.0,python/ray/util/collective/collective_group/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/collective_group/nccl_util.py,290,135,209,5,20,12,20,25,32,98.04820237218406,2.5,371.50849518197793,20.639360843443217,148.60339807279118,43,55.13876023146757
