,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
118,jax_0.1.73,jax/interpreters/sharded_jit.py,345,146,178,13,38,24,45,51,69,247.52696184669043,7.697368421052632,3012.729591166835,167.37386617593526,391.3973485960332,25,60.50804356112509,6,1
119,jax_0.1.73,jax/interpreters/pxla.py,1362,757,875,16,321,209,402,337,611,2736.7838653662598,10.018691588785046,51399.14914799876,2855.508285999931,5130.325521302116,251,5.0474354561686265,30,1
120,jax_0.1.73,jax/interpreters/__init__.py,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
121,jax_0.1.73,jax/interpreters/parallel.py,134,97,96,5,22,13,25,27,38,109.71713608445737,2.840909090909091,513.3117189835564,28.51731772130869,180.68572508221183,32,58.44192451538885,6,1
122,jax_0.1.73,jax/interpreters/batching.py,407,317,319,16,150,99,191,166,290,1148.322803574382,10.186666666666667,21786.849818789666,1210.3805454883147,2138.7614350906083,124,23.75123280351597,16,1
123,jax_0.1.73,jax/interpreters/partial_eval.py,832,500,543,14,181,107,191,195,298,1410.775074470867,7.386740331491713,16745.62534577902,930.3125192099455,2266.984433497384,190,18.62725761363287,23,1
124,jax_0.1.73,jax/interpreters/ad.py,673,522,527,15,145,94,171,160,265,1099.6901769862932,8.844827586206897,17161.715773439006,953.4286540799447,1940.3109451451508,132,16.901476774483132,20,1
125,jax_0.1.73,jax/interpreters/xla.py,1281,912,960,15,226,146,276,241,422,1825.9638044399603,9.15929203539823,30585.067923762486,1699.170440209027,3339.239299889044,259,0.0,26,1
126,jax_0.1.73,jax/interpreters/masking.py,478,347,345,19,153,95,176,172,271,1191.090962687404,10.9281045751634,21993.0044152456,1221.8335786247555,2012.5177485242684,135,23.366689723901395,6,1
127,jax_0.1.73,jax/interpreters/invertible_ad.py,349,222,223,17,93,61,109,110,170,677.6286377343027,9.96236559139785,11484.925394394642,638.0514107997024,1152.8311512991922,47,48.41018313446299,1,1
128,jax_0.1.73,jax/tools/jax_to_hlo.py,199,72,88,7,23,14,24,30,38,123.69340944371451,3.652173913043478,680.9910774427127,37.83283763570626,186.46184263312367,20,69.01857155116885,0,0
129,jax_0.1.73,jax/tools/__init__.py,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
130,jax_0.1.73,jax/image/scale.py,222,119,133,14,100,69,135,114,204,717.6885878862789,9.45,13172.44536930679,731.8025205170438,1393.9095628896075,21,58.52612920039649,0,0
131,jax_0.1.73,jax/image/__init__.py,21,2,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
132,jax_0.1.73,jax/experimental/host_callback.py,943,376,493,15,162,108,201,177,309,1247.659059401437,9.305555555555555,21472.47745880115,1192.9154143778417,2307.490114975646,54,42.19231775460204,2,1
133,jax_0.1.73,jax/experimental/optix.py,515,225,214,10,61,52,98,71,150,394.9942585402097,8.032786885245901,7409.941201370395,411.663400076133,922.4620679257024,3,56.255663838787775,0,0
134,jax_0.1.73,jax/experimental/__init__.py,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
135,jax_0.1.73,jax/experimental/ode.py,291,177,188,15,250,187,348,265,535,2050.0494300996497,10.44,44961.62408810117,2497.8680048945093,4306.668973956051,4,50.75603918558833,1,1
136,jax_0.1.73,jax/experimental/vectorize.py,289,92,105,11,30,20,34,41,54,185.26046567326583,6.233333333333333,1803.352004754447,100.18622248635818,289.30780824937654,23,59.884080258913954,0,0
