Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
jax_0.2.21,jax/_src/third_party/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/third_party/numpy/linalg.py,207,136,135,15,85,71,121,100,192,603.4015885058325,10.676470588235293,13619.123558898214,756.6179754943453,1275.6203884367474,35,52.44156611163639
jax_0.2.21,jax/_src/third_party/numpy/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/ops/scatter.py,615,105,167,9,22,17,33,31,50,126.63682062300134,6.75,1672.0412547555704,92.89118081975391,247.70981551934378,20,42.4625020789703
jax_0.2.21,jax/_src/ops/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/nn/functions.py,403,113,100,13,82,52,100,95,152,569.4249807145172,7.926829268292683,7915.874806135337,439.77082256307426,998.6180524663041,7,38.148549017964044
jax_0.2.21,jax/_src/nn/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/nn/initializers.py,195,123,110,10,88,67,126,98,193,601.6492633889558,7.159090909090909,9139.574658476913,507.7541476931618,1276.6389999142355,1,61.756149009028874
jax_0.2.21,jax/_src/scipy/special.py,1463,612,871,20,580,462,811,600,1273,5410.785834106409,13.982758620689655,164273.45004351757,9126.302780195421,11748.286193001257,44,33.20473857638226
jax_0.2.21,jax/_src/scipy/signal.py,148,101,110,16,80,58,111,96,169,569.7542475909889,11.1,12352.731155102816,686.2628419501565,1112.8586626218753,40,50.83660016682552
jax_0.2.21,jax/_src/scipy/linalg.py,598,422,461,18,293,198,383,311,581,2476.12240837168,11.764505119453926,56600.53783868925,3144.474324371625,4811.12781744588,54,27.810964459390977
jax_0.2.21,jax/_src/scipy/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/eigh.py,238,99,92,11,32,18,35,43,53,198.0537478050103,6.015625,1730.0458174952548,96.11365652751415,287.5920319992112,8,61.01636485034411
jax_0.2.21,jax/_src/scipy/ndimage.py,136,78,94,10,39,25,50,49,75,239.34996748450132,6.410256410256411,2699.3797327476964,149.96554070820537,421.10323830864064,14,60.527938645509664
jax_0.2.21,jax/_src/scipy/fft.py,96,61,62,10,56,34,66,66,100,358.4311565840995,5.892857142857143,3561.8751060505174,197.88195033613985,604.4394119358453,26,63.939733909784586
jax_0.2.21,jax/_src/scipy/optimize/line_search.py,418,192,313,18,193,158,293,211,451,1540.4028582187013,13.663212435233161,47578.25332041452,2643.2362955785848,3482.2157341069405,10,47.349299552771996
jax_0.2.21,jax/_src/scipy/optimize/minimize.py,128,43,55,5,11,7,12,16,19,49.663388279447084,2.727272727272727,207.27272727272725,11.515151515151514,76.0,5,75.62550362724534
jax_0.2.21,jax/_src/scipy/optimize/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/optimize/_lbfgs.py,233,102,132,12,68,45,83,80,128,456.967023213677,7.323529411764706,5926.249771772058,329.236098431781,809.2067961455823,7,64.06449874453386
jax_0.2.21,jax/_src/scipy/optimize/bfgs.py,179,70,109,9,43,25,48,52,73,261.858709465171,5.023255813953488,2090.337987805785,116.1298882114325,416.1320994242998,2,70.19761433120354
jax_0.2.21,jax/_src/scipy/sparse/linalg.py,749,332,337,16,156,105,200,172,305,1200.5227461425109,10.256410256410257,23230.879489068102,1290.604416059339,2265.01075018414,22,46.477870365044616
jax_0.2.21,jax/_src/scipy/sparse/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/norm.py,53,28,28,3,6,4,7,9,11,20.264662506490406,1.75,61.021056277764515,3.3900586820980285,34.86917501586544,1,86.36838976988906
jax_0.2.21,jax/_src/scipy/stats/nbinom.py,41,19,19,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,98.80361971046804
jax_0.2.21,jax/_src/scipy/stats/laplace.py,42,21,23,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/chi2.py,40,18,18,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,99.08805717012652
jax_0.2.21,jax/_src/scipy/stats/betabinom.py,50,27,24,2,3,2,3,5,5,6.754887502163469,1.0,11.60964047443681,0.6449800263576005,11.60964047443681,2,90.2891388065784
jax_0.2.21,jax/_src/scipy/stats/beta.py,38,17,20,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/gamma.py,36,17,18,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,99.62955793282077
jax_0.2.21,jax/_src/scipy/stats/logistic.py,44,22,22,3,5,3,5,8,8,16.36452797660028,1.5,36.0,2.0,24.0,1,90.15035513843107
jax_0.2.21,jax/_src/scipy/stats/dirichlet.py,54,27,32,9,22,14,27,31,41,126.63682062300134,5.5227272727272725,1121.7876781905554,62.321537677253076,203.1220487258619,5,80.27487038291208
jax_0.2.21,jax/_src/scipy/stats/bernoulli.py,36,16,17,2,4,3,4,6,7,10.0,1.0,18.094737505048094,1.0052631947248942,18.094737505048094,1,93.1869161907969
jax_0.2.21,jax/_src/scipy/stats/geom.py,33,16,16,2,4,3,4,6,7,10.0,1.0,18.094737505048094,1.0052631947248942,18.094737505048094,1,92.7535086534133
jax_0.2.21,jax/_src/scipy/stats/uniform.py,33,12,14,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/cauchy.py,34,15,15,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/expon.py,32,14,14,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,99.38367921311516
jax_0.2.21,jax/_src/scipy/stats/t.py,40,20,21,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/scipy/stats/poisson.py,42,22,22,3,9,5,9,12,14,33.28421251514428,1.5,75.28421251514428,4.182456250841349,50.18947501009619,1,87.90690024444606
jax_0.2.21,jax/_src/scipy/stats/multivariate_normal.py,51,27,32,10,45,40,70,55,110,280.35267028370896,7.777777777777778,4946.274421571097,274.7930234206165,635.9495684877126,6,76.66971034956092
jax_0.2.21,jax/_src/scipy/stats/pareto.py,34,15,15,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,1,99.48632904559491
jax_0.2.21,jax/_src/lax/other.py,115,18,40,4,12,7,14,16,21,51.01955000865388,2.3333333333333335,196.0,10.88888888888889,84.0,2,75.47689480851739
jax_0.2.21,jax/_src/lax/linalg.py,1443,879,959,20,455,400,679,475,1079,4103.962406361904,14.923076923076923,143175.50118922125,7954.194510512291,9594.234615772557,153,12.254982982018769
jax_0.2.21,jax/_src/lax/__init__.py,18,3,3,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
